Film,Year,Longitude,Latitude
Spirited Away,2001,25.1092,121.8463
Your Name,2016,35.6854,139.7224
Howl's Moving Castle,2004,48.0794,7.3585
Princess Mononoke,1997,30.3552,130.5238
Ponyo,2008,34.3829,133.3812
Weathering With You,2019,35.6938,139.7034
The Wind Rises,2013,36.2428,137.6285
Detective Conan: The Fist of Blue Sapphire,2019,1.3521,103.8198
The Secret World of Arrietty,2010,40.6169,140.5699
Detective Conan: Zero the Enforcer,2018,35.5311,139.8894
From Up on Poppy Hill,2011,35.4372,139.6484
When Marnie Was There,2014,43.0739,144.3206
Garden of Words,2013,35.6852,139.7101
5 Centimeters Per Second,2007,35.6938,139.7034
My Neighbor Totoro,1988,35.7994,139.4687
Only Yesterday,1982,38.5371,140.1435